Demographic Information - What is your age?,Demographic Information - What is your gender?,Demographic Information - What is your current occupation?,"Digital Device Usage - On average, how many hours per day do you spend on digital devices (smartphones, tablets, computers, etc.)?",Digital Device Usage - Which activities do you spend most of your time on digital devices? (Select all that apply),Digital Device Usage - Do you use digital devices at night before sleep?,Digital Device Usage - Do you think the time you spend on your digital devices is good use of your time?,Mental Health and Well-Being - How often do you feel stressed?,"Mental Health and Well-Being - Have you ever felt symptoms of depression (such as prolonged sadness, loss of interest, fatigue, etc.)?",Mental Health and Well-Being - Do you feel comfortable discussing your mental health with friends or family?,Mental Health and Well-Being - Do you think your digital device usage affects your mental health?,"Physical Activity and Sleep - How often do you engage in physical activities (exercise, sports, etc.)?",Physical Activity and Sleep - How would you rate your sleep quality?,Physical Activity and Sleep - How would you rate your current nutrition and diet?,Access to Mental Health Resources - Are you aware of the mental health resources available to you?,Access to Mental Health Resources - Have you ever sought professional help for mental health issues?,Preferences for Mental Health Support - What is your preferred mode of receiving mental health support? (Select all that apply),Preferences for Mental Health Support - Would you be open to using an AI-powered chatbot for mental health support and managing digital device usage?,Preferences for Mental Health Support - What features would you find most helpful in an AI-powered chatbot? (Select all that apply),Preferences for Mental Health Support - Do you have any suggestions for improving mental health support for Gen Z? (Open-ended)
27 years and above,Female,Employed,4-6 hours,"['Gaming', 'Studying/Educational purposes']",Never,Sometimes,Always,No,Neutral,A lot,Never,Very poor,Very Poor,No,No,"['Other (please specify)', 'AI-powered chatbots']",Yes,"['Immediate emotional support', 'Connection to professional help']",It's important to encourage employers to provide mental health support and provide online and offline support groups to promote better coping mechanisms for Gen Z.
23-27 years,Male,Employed,4-6 hours,"['Gaming', 'Studying/Educational purposes']",Always,Yes,Often,No,Neutral,Not at all,Often,Average,Average,Yes,Yes,['Support groups'],Yes,['Connection to professional help'],It's essential to encourage employers to provide mental health support for better mental health outcomes in Gen Z.
Under 12 years,Female,Student,More than 6 hours,"['Work/Professional tasks', 'Watching videos/Movies', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Never,Sometimes,Sometimes,Sometimes,Very uncomfortable,Not at all,Often,Good,Poor,Not sure,Yes,['AI-powered chatbots'],Maybe,['Other (please specify)'],Supporting Gen Z's mental health requires improve access to online mental health resources and offer mental health training programs.
17-23 years,Male,Employed,Less than 2 hours,"['Studying/Educational purposes', 'Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Sometimes,Sometimes,Sometimes,Very uncomfortable,A lot,Often,Poor,Good,Yes,Yes,"['Self-help resources (books, articles, videos)']",Yes,['Other (please specify)'],"To improve mental health support for Gen Z, promote a healthy balance between digital device usage and offline activities in public spaces."
23-27 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,Yes,Sometimes,No,Somewhat comfortable,A little,Always,Average,Poor,Not sure,No,['Online therapy sessions'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Connection to professional help', 'Daily check-ins/mood tracking']","By ensure mental health resources are culturally sensitive, we can foster and reduced stigma."
Under 12 years,Male,Student,More than 6 hours,"['Work/Professional tasks', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Often,No,Rarely,No,Very comfortable,Not at all,Sometimes,Very good,Very Good,Not sure,No,['Online therapy sessions'],Maybe,"['Resources for mental health (articles, videos, etc.)']","To improve mental health support for Gen Z, promote a healthy balance between digital device usage and offline activities in workplaces."
17-23 years,Male,Employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Sometimes,Sometimes,Often,No,Somewhat uncomfortable,Moderately,Rarely,Good,Good,Yes,Yes,['In-person counseling'],No,['Other (please specify)'],Supporting Gen Z's mental health requires offer anonymous counseling services and increase accessibility to mental health services.
12-17 years,Female,Student,2-4 hours,"['Work/Professional tasks', 'Gaming', 'Studying/Educational purposes']",Always,Sometimes,Sometimes,No,Very uncomfortable,Significantly,Often,Average,Average,No,No,"['Support groups', 'Other (please specify)']",Maybe,"['Tips for managing digital device usage', 'Resources for mental health (articles, videos, etc.)']","To improve mental health support for Gen Z, provide accessible and affordable mental health services in social media."
12-17 years,Non-binary,Student,4-6 hours,"['Watching videos/Movies', 'Gaming', 'Studying/Educational purposes']",Often,Sometimes,Never,No,Somewhat uncomfortable,A little,Often,Good,Very Good,No,Yes,"['Support groups', 'In-person counseling']",Yes,"['Immediate emotional support', 'Daily check-ins/mood tracking']",It's important to improve access to online mental health resources and provide online and offline support groups to promote greater emotional support for Gen Z.
12-17 years,Female,Student,2-4 hours,['Work/Professional tasks'],Never,No,Sometimes,No,Very comfortable,Significantly,Never,Good,Average,No,No,"['Online therapy sessions', 'Support groups']",No,"['Other (please specify)', 'Tips for managing digital device usage', 'Immediate emotional support']","By create safe spaces for Gen Z to share experiences, we can encourage and greater emotional support."
17-23 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Work/Professional tasks']",Never,No,Often,No,Very comfortable,Moderately,Rarely,Average,Good,No,No,"['Self-help resources (books, articles, videos)']",No,"['Tips for managing digital device usage', 'Connection to professional help']",Providing community support and educational workshops can significantly improve mental health for Gen Z.
23-27 years,Female,Student,2-4 hours,"['Studying/Educational purposes', 'Work/Professional tasks']",Always,Sometimes,Always,No,Neutral,A little,Often,Poor,Very Poor,No,No,"['In-person counseling', 'AI-powered chatbots']",No,"['Tips for managing digital device usage', 'Immediate emotional support', 'Connection to professional help']",create more inclusive and diverse mental health resources and offer regular mental health workshops are crucial for enhancing mental health support for Gen Z.
12-17 years,Male,Student,More than 6 hours,"['Studying/Educational purposes', 'Watching videos/Movies', 'Gaming']",Always,Yes,Never,No,Very comfortable,Moderately,Often,Very good,Good,Not sure,No,['Support groups'],No,['Tips for managing digital device usage'],It's important to create safe spaces for Gen Z to share experiences and encourage physical and recreational activities to promote greater emotional support for Gen Z.
17-23 years,Male,Student,4-6 hours,['Watching videos/Movies'],Always,Sometimes,Often,Yes,Neutral,Moderately,Often,Good,Good,No,No,"['Self-help resources (books, articles, videos)']",No,['Daily check-ins/mood tracking'],It's essential to create more inclusive and diverse mental health resources for better mental health outcomes in Gen Z.
17-23 years,Female,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Work/Professional tasks']",Often,No,Sometimes,Yes,Somewhat comfortable,A lot,Sometimes,Good,Poor,Yes,No,"['AI-powered chatbots', 'Self-help resources (books, articles, videos)']",Yes,['Tips for managing digital device usage'],It's important to encourage open discussions about mental health and offer regular mental health workshops to promote reduced stigma for Gen Z.
17-23 years,Male,Student,4-6 hours,['Studying/Educational purposes'],Often,No,Always,Sometimes,Somewhat uncomfortable,A lot,Rarely,Average,Average,No,Yes,['In-person counseling'],Yes,['Tips for managing digital device usage'],counseling and therapy and online and offline resources are vital for youth centers to effectively support Gen Z's mental health.
12-17 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Always,Sometimes,Sometimes,Sometimes,Very uncomfortable,Moderately,Sometimes,Poor,Good,Not sure,Yes,"['AI-powered chatbots', 'Support groups']",Maybe,"['Immediate emotional support', 'Resources for mental health (articles, videos, etc.)', 'Tips for managing digital device usage']",Gen Z's mental health can greatly benefit from provide accessible and affordable mental health services and promote mental health awareness campaigns provided in healthcare settings.
27 years and above,Male,Self-employed,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming', 'Studying/Educational purposes']",Never,Sometimes,Sometimes,No,Very comfortable,Not at all,Sometimes,Average,Average,Not sure,Yes,"['Other (please specify)', 'Online therapy sessions']",Yes,"['Other (please specify)', 'Tips for managing digital device usage']",Encouraging integrate mental health education into the school curriculum among Gen Z can lead to greater awareness and education.
17-23 years,Female,Unemployed,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming', 'Work/Professional tasks']",Rarely,Sometimes,Sometimes,No,Very comfortable,Significantly,Sometimes,Average,Average,Not sure,No,['AI-powered chatbots'],Maybe,"['Resources for mental health (articles, videos, etc.)', 'Immediate emotional support', 'Tips for managing digital device usage']",public spaces should prioritize encourage regular mental health check-ups and develop mental health apps and tools for better mental health support.
23-27 years,Female,Student,4-6 hours,"['Gaming', 'Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Sometimes,Yes,Sometimes,Sometimes,Somewhat comfortable,Not at all,Rarely,Good,Poor,Yes,No,"['In-person counseling', 'Online therapy sessions']",Yes,"['Other (please specify)', 'Resources for mental health (articles, videos, etc.)', 'Connection to professional help']",encourage employers to provide mental health support and provide online and offline support groups are crucial for enhancing mental health support for Gen Z.
17-23 years,Female,Student,4-6 hours,"['Gaming', 'Watching videos/Movies', 'Studying/Educational purposes']",Rarely,Sometimes,Sometimes,No,Somewhat uncomfortable,Moderately,Sometimes,Average,Good,Not sure,No,['In-person counseling'],No,"['Connection to professional help', 'Tips for managing digital device usage', 'Immediate emotional support']","By improve access to online mental health resources, we can promote and better mental health outcomes."
12-17 years,Male,Student,4-6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Watching videos/Movies']",Sometimes,Sometimes,Sometimes,No,Somewhat uncomfortable,A little,Never,Average,Poor,Yes,No,['Other (please specify)'],Yes,"['Tips for managing digital device usage', 'Immediate emotional support', 'Connection to professional help']",We should integrate mental health education into the school curriculum to ensure Gen Z has access to community support.
Under 12 years,Male,Student,2-4 hours,['Gaming'],Sometimes,Sometimes,Never,Yes,Somewhat comfortable,Not at all,Often,Good,Average,Not sure,No,"['Self-help resources (books, articles, videos)']",Maybe,"['Other (please specify)', 'Immediate emotional support']","By offer anonymous counseling services, we can foster and better mental health outcomes."
Under 12 years,Female,Student,2-4 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Always,No,Rarely,No,Very uncomfortable,A lot,Always,Very good,Very Good,Yes,Yes,"['Online therapy sessions', 'Support groups']",Maybe,['Connection to professional help'],mental health apps and emotional support are vital for social media to effectively support Gen Z's mental health.
17-23 years,Female,Unemployed,4-6 hours,['Watching videos/Movies'],Sometimes,Sometimes,Always,No,Very comfortable,Moderately,Always,Very poor,Very Poor,No,No,['Online therapy sessions'],Yes,"['Other (please specify)', 'Connection to professional help']",Supporting Gen Z's mental health requires encourage regular mental health check-ups and offer mental health training programs.
23-27 years,Male,Student,4-6 hours,['Watching videos/Movies'],Often,No,Often,No,Very uncomfortable,Significantly,Always,Average,Average,Not sure,Yes,"['Support groups', 'AI-powered chatbots']",Yes,"['Daily check-ins/mood tracking', 'Other (please specify)', 'Immediate emotional support']","To improve mental health support for Gen Z, implement mental health programs and workshops in educational institutions."
12-17 years,Male,Student,More than 6 hours,['Work/Professional tasks'],Always,Yes,Never,No,Somewhat comfortable,A little,Sometimes,Good,Average,Yes,Yes,['Online therapy sessions'],Yes,['Immediate emotional support'],We should promote mindfulness and relaxation techniques to ensure Gen Z has access to mental health apps.
12-17 years,Male,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)', 'Gaming']",Always,Sometimes,Never,No,Very comfortable,Not at all,Always,Very good,Good,No,Yes,"['Self-help resources (books, articles, videos)']",Maybe,"['Tips for managing digital device usage', 'Immediate emotional support', 'Resources for mental health (articles, videos, etc.)']","By ensure mental health resources are culturally sensitive, we can support and better coping mechanisms."
12-17 years,Male,Student,More than 6 hours,"['Social media (Facebook, TikTok, X formally Twitter, Instagram)']",Rarely,No,Rarely,Yes,Somewhat uncomfortable,A little,Often,Good,Very Good,No,No,"['Self-help resources (books, articles, videos)', 'Support groups']",Maybe,"['Immediate emotional support', 'Connection to professional help']",One way to support Gen Z's mental health is by increase peer support programs and create supportive community environments.
